Indikator,Jenjang,Tahun,Satuan,Nilai,Provinsi,Cluster
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,70.67,ACEH,2
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,77.16,SUMATERA UTARA,2
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,65.96,SUMATERA BARAT,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,66.91,RIAU,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,65.85,JAMBI,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,67.07,SUMATERA SELATAN,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,64.88,BENGKULU,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,62.42,LAMPUNG,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,66.87,KEP. BANGKA BELITUNG,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,73.93,KEP. RIAU,2
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,87.71,DKI JAKARTA,4
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,67.05,JAWA BARAT,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,58.75,JAWA TENGAH,3
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,87.92,DI YOGYAKARTA,4
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,66.87,JAWA TIMUR,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,66.02,BANTEN,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,76.59,BALI,2
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,61.0,NUSA TENGGARA BARAT,3
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,38.47,NUSA TENGGARA TIMUR,1
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,58.4,KALIMANTAN BARAT,3
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,61.88,KALIMANTAN TENGAH,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,67.81,KALIMANTAN SELATAN,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,74.0,KALIMANTAN TIMUR,2
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,54.8,KALIMANTAN UTARA,3
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,66.66,SULAWESI UTARA,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,53.73,SULAWESI TENGAH,3
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,68.32,SULAWESI SELATAN,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,65.97,SULAWESI TENGGARA,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,45.12,GORONTALO,1
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,55.18,SULAWESI BARAT,3
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,72.08,MALUKU,2
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,67.1,MALUKU UTARA,0
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,57.07,PAPUA BARAT,3
Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi,SMA / Sederajat,2022,Tahun,39.01,PAPUA,1
